date,country,rank,previous_rank,total_points,previous_points,conf
2026-06-11,Argentina,1,3,1877.27,1874.81,CONMEBOL
2026-06-11,Spain,2,2,1874.71,1876.4,UEFA
2026-06-11,France,3,1,1870.7,1877.32,UEFA
2026-06-11,England,4,4,1828.02,1825.97,UEFA
2026-06-11,Portugal,5,5,1767.85,1763.83,UEFA
2026-06-11,Brazil,6,6,1765.86,1761.16,CONMEBOL
2026-06-11,Morocco,7,8,1755.1,1755.87,CAF
2026-06-11,Netherlands,8,7,1753.57,1757.87,UEFA
2026-06-11,Belgium,9,9,1742.24,1734.71,UEFA
2026-06-11,Germany,10,10,1735.77,1730.37,UEFA
2026-06-11,Croatia,11,11,1714.87,1717.07,UEFA
2026-06-11,Italy,12,12,1704.73,1700.37,UEFA
2026-06-11,Colombia,13,13,1698.35,1693.09,CONMEBOL
2026-06-11,Mexico,14,15,1687.48,1681.03,CONCACAF
2026-06-11,Senegal,15,14,1684.07,1688.99,CAF
2026-06-11,Uruguay,16,17,1673.07,1673.07,CONMEBOL
2026-06-11,United States,17,16,1671.23,1673.13,CONCACAF
2026-06-11,Japan,18,18,1661.58,1660.43,AFC
2026-06-11,Switzerland,19,19,1650.06,1649.4,UEFA
2026-06-11,Iran,20,21,1619.58,1615.3,AFC
2026-06-11,Denmark,21,20,1619.47,1620.81,UEFA
2026-06-11,Türkiye,22,22,1605.73,1599.04,UEFA
2026-06-11,Ecuador,23,23,1598.52,1594.78,CONMEBOL
2026-06-11,Austria,24,24,1597.4,1593.45,UEFA
2026-06-11,South Korea,25,25,1591.63,1588.66,AFC
2026-06-11,Nigeria,26,26,1585.02,1585.09,CAF
2026-06-11,Australia,27,27,1579.34,1580.67,AFC
2026-06-11,Algeria,28,28,1571.03,1564.26,CAF
2026-06-11,Egypt,29,29,1562.37,1563.24,CAF
2026-06-11,Canada,30,30,1559.48,1556.48,CONCACAF
2026-06-11,Norway,31,31,1557.44,1550.94,UEFA
2026-06-11,Ukraine,32,32,1549.29,1546.88,UEFA
2026-06-11,Ivory Coast,33,34,1540.87,1532.98,CAF
2026-06-11,Panama,34,33,1539.16,1540.64,CONCACAF
2026-06-11,Russia,35,36,1529.6,1525.6,UEFA
2026-06-11,Poland,36,35,1526.18,1528.0,UEFA
2026-06-11,Wales,37,37,1516.95,1524.29,UEFA
2026-06-11,Sweden,38,38,1509.79,1514.77,UEFA
