team,wc_titles,wc_finals,wc_semis,wc_last_win_year,wc_last_final_year,wc_last_semi_year,cont_titles,cont_finals,cont_semis,cont_last_win_year,cont_last_final_year,cont_last_semi_year,last_world_cup_participation,last_continental_participation
Algeria,0,0,0,,,,2,3,6,2019.0,2019.0,2023.0,2026,2025.0
Argentina,3,6,6,2022.0,2022.0,2022.0,16,24,30,2024.0,2024.0,2024.0,2026,2024.0
Australia,0,0,0,,,,5,6,8,2015.0,2015.0,2019.0,2026,2024.0
Austria,0,0,2,,,1954.0,0,1,2,,1959.0,2008.0,2026,2024.0
Belgium,0,0,2,,,2018.0,0,1,2,,1980.0,1980.0,2026,2024.0
Bosnia and Herzegovina,0,0,0,,,,0,0,0,,,,2026,2024.0
Brazil,5,7,11,2002.0,2002.0,2014.0,9,12,15,2019.0,2021.0,2021.0,2026,2024.0
Canada,0,0,0,,,,2,3,4,2000.0,2000.0,2023.0,2026,2025.0
Cape Verde,0,0,0,,,,0,0,1,,,2013.0,2026,2024.0
Colombia,0,0,0,,,,1,2,6,2001.0,2001.0,2024.0,2026,2024.0
Congo DR,0,0,0,,,,2,2,4,1974.0,1974.0,2015.0,2026,2025.0
Croatia,0,1,3,,2018.0,2022.0,0,0,1,,,2024.0,2026,2024.0
Curaçao,0,0,0,,,,0,0,0,,,,2026,2025.0
Czechia,0,2,2,,1962.0,1962.0,1,1,2,1976.0,1976.0,1996.0,2026,2024.0
Ecuador,0,0,0,,,,0,0,1,,,2024.0,2026,2024.0
Egypt,0,0,0,,,,7,9,12,2010.0,2010.0,2021.0,2026,2025.0
England,1,1,3,1966.0,1966.0,2018.0,0,2,3,,2021.0,2024.0,2026,2024.0
France,2,4,7,2018.0,2022.0,2022.0,2,3,5,2000.0,2016.0,2016.0,2026,2024.0
Germany,4,8,13,2014.0,2014.0,2014.0,3,4,8,1996.0,1996.0,2016.0,2026,2024.0
Ghana,0,0,0,,,,4,5,8,1982.0,1982.0,2015.0,2026,2024.0
Haiti,0,0,0,,,,1,1,2,1973.0,1973.0,1973.0,2026,2025.0
Iran,0,0,0,,,,0,3,5,,2007.0,2024.0,2026,2024.0
Iraq,0,0,0,,,,1,1,2,2007.0,2007.0,2007.0,2026,2024.0
Ivory Coast,0,0,0,,,,2,3,6,2015.0,2015.0,2024.0,2026,2025.0
Japan,0,0,0,,,,4,5,7,2011.0,2011.0,2023.0,2026,2024.0
Jordan,0,0,0,,,,0,0,1,,,2024.0,2026,2024.0
Mexico,0,0,0,,,,9,12,14,2023.0,2023.0,2023.0,2026,2025.0
Morocco,0,0,1,,,2022.0,1,3,5,1976.0,2004.0,2022.0,2026,2025.0
Netherlands,0,3,5,,2010.0,2014.0,1,1,4,1988.0,1988.0,2014.0,2026,2024.0
New Zealand,0,0,0,,,,5,6,7,2016.0,2016.0,2024.0,2026,
Norway,0,0,0,,,,0,0,0,,,,2026,2023.0
Panama,0,0,0,,,,0,0,1,,,2023.0,2026,2025.0
Paraguay,0,0,0,,,,2,4,6,1979.0,1979.0,2015.0,2026,2024.0
Portugal,0,0,2,,,2006.0,1,1,3,2016.0,2016.0,2024.0,2026,2024.0
Qatar,0,0,0,,,,1,1,2,2019.0,2019.0,2019.0,2026,2024.0
Saudi Arabia,0,0,0,,,,0,1,3,,2007.0,2024.0,2026,2025.0
Scotland,0,0,0,,,,0,0,0,,,,2026,2024.0
Senegal,0,0,0,,,,1,2,4,2021.0,2021.0,2023.0,2026,2025.0
South Africa,0,0,0,,,,1,1,3,1996.0,1996.0,2013.0,2026,2025.0
South Korea,0,0,1,,,2002.0,2,4,6,1960.0,2015.0,2023.0,2026,2024.0
Spain,1,1,2,2010.0,2010.0,2010.0,4,4,5,2024.0,2024.0,2024.0,2026,2024.0
Sweden,0,1,4,,1958.0,1994.0,0,0,1,,,1992.0,2026,2023.0
Switzerland,0,0,0,,,,0,0,0,,,,2026,2024.0
Tunisia,0,0,0,,,,1,2,4,2004.0,2004.0,2021.0,2026,2025.0
Türkiye,0,0,1,,,2002.0,0,0,1,,,2008.0,2026,2024.0
United States,0,0,1,,,1930.0,7,9,11,2021.0,2021.0,2023.0,2026,2025.0
Uruguay,2,2,5,1950.0,1950.0,2010.0,15,18,20,2011.0,2011.0,2024.0,2026,2024.0
Uzbekistan,0,0,0,,,,0,0,1,,,2015.0,2026,2024.0
